# 1:time 2:hplus 3:hcross
1.0010400000e-02 0.0000000000e+00 0.0000000000e+00
1.0020800000e-02 -7.3344767802e-04 -1.4662045398e-08
1.0031200000e-02 -1.8084080849e-03 -1.1533516996e-07
1.0041600000e-02 -1.3780611047e-03 3.9690032983e-07
1.0052000000e-02 -1.8438073565e-03 1.3765968420e-07
1.0062400000e-02 -6.4307777350e-04 -3.2881323492e-07
1.0072800000e-02 -8.0947215119e-04 -1.7188796152e-07
1.0083200000e-02 -3.7783707432e-03 -5.9078454544e-07
1.0093600000e-02 -3.7885534924e-03 1.3053886392e-07
1.0104000000e-02 -1.0352403527e-03 -6.8431039544e-08
1.0114400000e-02 -6.9056750925e-04 -3.9332505886e-07
1.0124800000e-02 -2.7158851088e-03 3.1029008190e-07
1.0135200000e-02 -3.4322002507e-03 4.1394390672e-07
1.0145600000e-02 -1.8977825383e-03 -3.0133834392e-07
1.0155334001e-02 -3.3657834136e-04 -7.8055976004e-07
1.0164697043e-02 -3.9052605698e-04 -3.1894145603e-08
1.0174039302e-02 -1.2389808985e-03 3.8524450358e-07
1.0183307730e-02 -1.7115066291e-03 5.8907890623e-07
1.0192568813e-02 -1.5801101476e-03 5.3050756823e-07
1.0201864032e-02 -1.3833895802e-03 4.0070660984e-08
1.0211165518e-02 -1.4693922528e-03 2.2048721211e-07
1.0220430241e-02 -1.7348643675e-03 1.2540019409e-06
1.0229694954e-02 -2.0017573661e-03 9.4812678262e-07
1.0238999242e-02 -2.1690140657e-03 -2.7330641489e-08
1.0248272201e-02 -2.2930157175e-03 -6.9908961128e-08
1.0257593565e-02 -2.3848205826e-03 -3.5350423697e-07
1.0266868062e-02 -2.4125019974e-03 -8.1737645482e-07
1.0276134393e-02 -2.4941456828e-03 1.0727460812e-07
1.0285399082e-02 -2.6718174622e-03 4.5871630501e-07
1.0294671827e-02 -2.7794970862e-03 -7.2108286415e-07
1.0303930202e-02 -2.7071382968e-03 -4.0222294837e-07
1.0313191077e-02 -2.5676737739e-03 -7.1958269254e-07
1.0322457142e-02 -2.5484719082e-03 -1.1259237591e-06
1.0331775303e-02 -2.6269363578e-03 -1.0985337187e-06
1.0341046380e-02 -2.6208970909e-03 -1.6148643060e-06
1.0350324193e-02 -2.4631019827e-03 -1.3113442921e-06
1.0359634803e-02 -2.2959605787e-03 2.4702000822e-07
1.0368918407e-02 -2.2637747106e-03 3.8122598500e-07
1.0378190029e-02 -2.3361314634e-03 -6.2483216542e-07
1.0387457995e-02 -2.3818009132e-03 -6.1486910262e-07
1.0396743362e-02 -2.3273103951e-03 -2.9037263428e-07
1.0406077925e-02 -2.2519744564e-03 3.5596403696e-07
1.0415354327e-02 -2.2765108846e-03 5.6903511700e-07
1.0424625065e-02 -2.4071848425e-03 2.9439832777e-07
1.0433886428e-02 -2.5529276408e-03 3.0449388598e-07
1.0443141667e-02 -2.6461664455e-03 5.1969555437e-07
1.0452397984e-02 -2.7068184950e-03 5.6220306693e-07
1.0461652055e-02 -2.7883017202e-03 8.7763635653e-07
1.0470914146e-02 -2.8952803378e-03 8.8533984392e-07
1.0480198985e-02 -2.9782206670e-03 1.4239467963e-07
1.0489487672e-02 -3.0037662662e-03 -7.3594433733e-08
1.0498751892e-02 -2.9826357703e-03 1.3433321005e-06
1.0508010008e-02 -2.9377004953e-03 6.0773077793e-07
1.0517264840e-02 -2.8773746545e-03 3.0562431283e-07
1.0526519322e-02 -2.7916052534e-03 1.0885309627e-06
1.0535774114e-02 -2.6711499982e-03 4.4174700667e-07
1.0545034570e-02 -2.5228191346e-03 -1.7178774960e-07
1.0554288713e-02 -2.3668579637e-03 -5.9208657090e-07
1.0563541691e-02 -2.2189143706e-03 2.8983763347e-07
1.0572802722e-02 -2.0715402774e-03 2.6611376748e-07
1.0582056784e-02 -1.9170226810e-03 -1.0491180285e-06
1.0591311457e-02 -1.7695238510e-03 -1.0170819239e-06
1.0600570136e-02 -1.6484527366e-03 -6.2531361470e-07
1.0609826607e-02 -1.5625490248e-03 -4.0814773709e-07
1.0619079458e-02 -1.5137860072e-03 -2.7686968179e-07
1.0628335153e-02 -1.5033966733e-03 -8.7374643272e-07
1.0637591283e-02 -1.5446632561e-03 -1.0748128423e-06
1.0646846550e-02 -1.6486411289e-03 -7.9620444796e-07
1.0656101561e-02 -1.8105881225e-03 -1.1259288470e-06
1.0665355148e-02 -2.0297789636e-03 -1.5824223653e-06
1.0674609959e-02 -2.3016597807e-03 -1.4005515289e-06
1.0683862173e-02 -2.6160104437e-03 -8.5771340101e-07
1.0693118081e-02 -2.9636269844e-03 1.4969433731e-07
1.0702383604e-02 -3.3238432930e-03 5.4896220960e-07
1.0711641405e-02 -3.6676327503e-03 -1.2752527447e-07
1.0720900470e-02 -3.9743665186e-03 -1.0345480549e-07
1.0730155169e-02 -4.2274653791e-03 9.2255823038e-07
1.0739409616e-02 -4.4095377243e-03 1.2083891557e-06
1.0748663315e-02 -4.5102655853e-03 1.3266864627e-06
1.0757920127e-02 -4.5225116468e-03 1.0722749973e-06
1.0767175515e-02 -4.4462297440e-03 1.4344977846e-06
1.0776431011e-02 -4.2945119103e-03 2.5516456088e-06
1.0785687277e-02 -4.0812788953e-03 1.6801632842e-06
1.0794942670e-02 -3.8099162201e-03 7.7155035016e-07
1.0804197252e-02 -3.5046190407e-03 9.9985640026e-07
1.0813452684e-02 -3.1816135517e-03 8.0242216328e-07
1.0822709132e-02 -2.8381375363e-03 -2.5443048976e-07
1.0831966217e-02 -2.4928552945e-03 -5.0831340226e-07
1.0841219623e-02 -2.1656076249e-03 -8.5678959910e-07
1.0850473169e-02 -1.8494877702e-03 -1.4384989270e-06
1.0859726129e-02 -1.5273704912e-03 -1.3842111985e-06
1.0868979704e-02 -1.2139385002e-03 -2.2388601953e-06
1.0878235140e-02 -9.3202202246e-04 -3.0454805386e-06
1.0887490885e-02 -6.9156664482e-04 -3.6161484055e-06
1.0896745667e-02 -4.9661351348e-04 -4.9242157973e-06
1.0905999203e-02 -3.5430593874e-04 -5.2560507794e-06
1.0915253515e-02 -2.8442168678e-04 -5.3861425808e-06
1.0924507668e-02 -2.9694148240e-04 -6.8570688122e-06
1.0933760792e-02 -3.9230401969e-04 -7.9593659101e-06
1.0943012821e-02 -5.6261310846e-04 -8.0329038234e-06
1.0952269009e-02 -8.0065020518e-04 -8.4813422871e-06
1.0961524313e-02 -1.1029894981e-03 -9.4429751870e-06
1.0970779444e-02 -1.4606276864e-03 -1.0298453215e-05
1.0980033615e-02 -1.8632500121e-03 -1.0470463634e-05
1.0989289734e-02 -2.2876974589e-03 -1.0709370029e-05
1.0998550209e-02 -2.6978163991e-03 -1.0433222019e-05
1.1007403996e-02 -3.0842495047e-03 -1.0827776815e-05
1.1016659572e-02 -3.4137296454e-03 -1.0583549059e-05
1.1025912475e-02 -3.6907746760e-03 -9.3968068665e-06
1.1035168513e-02 -3.8880379484e-03 -9.4141346277e-06
1.1044424275e-02 -3.9945046059e-03 -1.0601722519e-05
1.1053681374e-02 -4.0106965679e-03 -1.0732284790e-05
1.1062934288e-02 -3.9395046502e-03 -7.3962410228e-06
1.1072190345e-02 -3.7900800066e-03 -5.8893579104e-06
1.1081451426e-02 -3.5861623081e-03 -5.4792015775e-06
1.1090707572e-02 -3.3504728567e-03 -3.6627938334e-06
1.1099965385e-02 -3.0928524577e-03 -1.9414184967e-06
1.1109222459e-02 -2.8289601032e-03 -3.1457834586e-07
